c0,cf,v0,vf,d,deviation,expectedvf,expectedcf
0.2,0.157874686,1012.889061,1242.95519,0,10.608557121959,1419.28006826662,0.142732795823315
0.1,0.131309105,1362.588702,1055.833864,0,-8.0035501003257,954.643040613256,0.142732795823315
0.2,0.145470899,1037.038548,1396.682152,0,1.91834200464681,1453.1188042918,0.142732795823315
0.1,0.141111666,1455.355845,1061.334544,0,-1.13577949199658,1019.63661301888,0.142732795823315
0.1,0.133778935,1418.529324,1103.841171,0,-8.59446442315661,969.22159375598,0.146357585627332
0.2,0.152590373,1183.121975,1450.210239,0,4.25860220770413,1616.75525040781,0.146357585627332
0.1,0.133079861,1426.172454,1151.150875,0,-9.07211236808791,974.443823930958,0.146357585627332
0.2,0.164815255,1140.276732,1322.742972,0,12.6113513649142,1558.20653519588,0.146357585627332
0.1,0.130521266,1631.699216,1317.011063,0,-10.8202930237288,1114.87164058224,0.146357585627332
0.1,0.126563105,1523.923719,1258.407116,0,-13.524738429161,1041.2331636027,0.146357585627332
0.2,0.15220562,1094.674945,1316.807759,0,3.99571661940279,1495.8909581733,0.146357585627332
0.2,0.167598317,1137.079852,1224.383414,0,14.5129009074752,1553.83794714314,0.146357585627332
0.2,0.161203234,1293.181304,1502.703998,0,10.1434089043182,1767.15309760959,0.146357585627332
0.1,0.14714969,767.042373,555.4873122,0,0.541211696867486,524.0878835984,0.146357585627332
0.201380225,0.19403594,1241.304011,1288.257162,0,33.3070691346309,1717.3783424629,0.145555626764277
0.100650551,0.109902116,1976.948598,1810.478335,0,-24.4947664043362,1367.04413364673,0.145555626764277
0.196654149,0.161675704,1263.828956,1537.010926,0,11.0748568049719,1707.5066993201,0.145555626764277
0.099768972,0.119121653,1839.058766,1540.265986,0,-18.1607364496365,1260.55588925154,0.145555626764277
0.198135497,0.164230897,1365.089591,1646.808498,0,12.8303320530282,1858.20851158392,0.145555626764277
0.101336977,0.116846471,1928.38065,1672.272554,0,-19.7238378223403,1342.5538395212,0.145555626764277
0.200011519,0.166047064,1377.748242,1659.467149,0,14.0780797632155,1893.19729376227,0.145555626764277
0.099174931,0.113513263,2060.849921,1800.473356,0,-22.0138269310389,1404.16865537961,0.145555626764277
0.193409245,0.158729458,1528.736735,1861.67726,0,9.05071932193851,2031.33210507174,0.145555626764277
0.200294305,0.197113014,1525.07555,1549.689168,44,25.5233544536513,1945.22211188189,0.157032940091465
