,Directory,ExperimentID,ExperimentID_full,ID,Setup,c0,cf,n10,n1f,n20,n2f,path,v0,vf,dropID,Medium,ExperimentID_Init,SteadyState,Comments,mind,dev_cf
55,G:\BackUp_Data\MIS3\20140226\transformed,5,,107,MIS3,0.1,0.130521266,0,0,32,32,G:\BackUp_Data\MIS3\20140226\transformed\drop_02_05_concentration.csv,1631.699216,1317.011063,5,2%,E6,,,0.01,-11.18015404
57,G:\BackUp_Data\MIS3\20140226\transformed,5,,109,MIS3,0.1,0.126563105,40,40,0,0,G:\BackUp_Data\MIS3\20140226\transformed\drop_02_07_concentration.csv,1523.923719,1258.407116,7,2%,E6,,,0.01,-13.87368638
58,G:\BackUp_Data\MIS3\20140226\transformed,5,,110,MIS3,0.2,0.15220562,0,0,0,0,G:\BackUp_Data\MIS3\20140226\transformed\drop_02_08_concentration.csv,1094.674945,1316.807759,8,2%,E6,,,0.01,3.57606953
60,G:\BackUp_Data\MIS3\20140226\transformed,5,,112,MIS3,0.2,0.167598317,0,0,0,0,G:\BackUp_Data\MIS3\20140226\transformed\drop_02_10_concentration.csv,1137.079852,1224.383414,10,2%,E6,,,0.01,14.05081451
61,G:\BackUp_Data\MIS3\20140226\transformed,5,,113,MIS3,0.2,0.161203234,0,0,0,0,G:\BackUp_Data\MIS3\20140226\transformed\drop_02_12_concentration.csv,1293.181304,1502.703998,12,2%,E6,,,0.01,9.698954435
62,G:\BackUp_Data\MIS3\20140226\transformed,5,,114,MIS3,0.1,0.14714969,0,0,,,G:\BackUp_Data\MIS3\20140226\transformed\drop_02_13_concentration.csv,767.042373,555.4873122,13,2%,E6,,,0.01,0.135504344
63,G:\BackUp_Data\DICSETUP\20150219\Transformed,6,,1,DICSETUP,0.201380225,0.19403594,,,0,0,G:\BackUp_Data\DICSETUP\20150219\Transformed\drop_00_01_concentration.csv,1241.304011,1288.257162,1,2%,E1,,,0.01,33.90997806
64,G:\BackUp_Data\DICSETUP\20150219\Transformed,6,,2,DICSETUP,0.100650551,0.109902116,0,0,0,0,G:\BackUp_Data\DICSETUP\20150219\Transformed\drop_00_02_concentration.csv,1976.948598,1810.478335,2,2%,E1,,,0.01,-24.15327829
65,G:\BackUp_Data\DICSETUP\20150219\Transformed,6,,3,DICSETUP,0.196654149,0.161675704,0,0,0,0,G:\BackUp_Data\DICSETUP\20150219\Transformed\drop_00_03_concentration.csv,1263.828956,1537.010926,3,2%,E1,,,0.01,11.57721593
66,G:\BackUp_Data\DICSETUP\20150219\Transformed,6,,4,DICSETUP,0.099768972,0.119121653,0,0,0,0,G:\BackUp_Data\DICSETUP\20150219\Transformed\drop_00_04_concentration.csv,1839.058766,1540.265986,4,2%,E1,,,0.01,-17.79060137
